DI,RTE,CO,PRE,PM,CS,LEG,YR,AM_DIR,AM_WAY_PHV,AM_K_FACTOR_AMT,AM_D_FACTOR_AMT,AM_KD_FACTOR,AM_HOUR,AM_DAY,AM_MONTH,PM_DIR,PM_WAY_PHV,PM_K_FACTOR_AMT,PM_D_FACTOR_AMT,PM_KD_FACTOR,PM_HOUR,PM_DAY,PM_MONTH
11,008,SD,L,1.213,951,B,17,E,2243,7.990,58.310,4.660,7,TUE,NOV,W,"2,021",6.680,62.800,4.200,17,MON,APR
11,008,SD,,0.946,804,A,17,W,8282,7.050,58.530,4.130,7,TUE,FEB,E,"8,046",7.160,56.010,4.010,15,MON,APR
11,008,SD,,5.638,953,B,17,W,10825,6.400,68.220,4.360,7,THU,AUG,E,"10,499",7.660,55.280,4.230,14,FRI,OCT
11,008,SD,,8.336,807,B,17,W,10646,6.100,76.620,4.670,6,WED,APR,E,"10,913",8.000,59.820,4.790,15,THU,OCT
11,008,SD,,11.764,810,B,17,W,7642,5.570,72.940,4.060,6,WED,JUN,E,"8,624",8.170,56.080,4.580,15,FRI,SEP
11,008,SD,,12.649,834,A,17,W,9591,5.540,72.370,4.010,6,MON,NOV,E,"11,577",8.430,57.390,4.840,16,WED,JUN
11,008,SD,,14.594,806,B,17,W,7281,6.910,59.510,4.110,7,THU,AUG,E,"7,411",7.980,52.460,4.180,15,THU,JUN
11,008,SD,R,18.727,824,B,17,W,7730,11.830,67.150,7.940,7,FRI,JUL,E,"8,228",14.630,57.810,8.460,17,WED,JUL
11,008,SD,R,20.041,888,B,17,W,3726,6.420,68.430,4.400,7,TUE,MAY,E,"3,772",7.550,58.910,4.450,16,TUE,DEC
11,008,SD,R,51.980,621,B,17,W,1191,13.180,53.460,7.040,12,MON,DEC,E,"1,378",14.610,55.790,8.150,14,MON,SEP
11,008,SD,R,65.904,981,A,17,W,1106,10.720,64.230,6.880,12,SAT,MAY,W,"1,172",13.660,53.390,7.290,14,FRI,MAY
11,008,IMP,R,10.291,994,A,17,W,1030,12.970,58.130,7.540,12,SAT,NOV,W,"1,176",12.140,70.890,8.610,18,SUN,NOV
11,008,IMP,R,10.291,993,B,17,W,1094,12.260,58.690,7.200,10,SAT,JUL,W,"1,266",12.400,67.160,8.330,17,SUN,NOV
11,008,IMP,R,23.480,624,A,17,W,1021,12.530,56.410,7.070,12,SAT,JUL,W,"1,152",11.380,70.030,7.970,18,SUN,NOV
